	GEN16	district	party	femaleis1	19
0	1.0	MRT	REP	0	5
1	1.0	CLA	REP	1	5
2	0.0	HIL	DEM	0	3
3	1.0	MON	NPA	0	5
4	1.0	BAK	REP	0	5
5	0.0	PAL	INT	1	5
6	1.0	BRO	REP	0	5
7	1.0	PIN	REP	1	5
8	1.0	STJ	REP	1	5
9	0.0	POL	DEM	1	3
10	1.0	STL	REP	0	5
11	0.0	MRT	REP	0	5
12	1.0	DUV	REP	1	5
13	0.0	BRO	NPA	0	9
14	1.0	DUV	NPA	0	5
15	1.0	CLL	REP	1	5
16	1.0	OKE	REP	1	6
17	1.0	PAL	NPA	0	5
18	1.0	SAN	REP	1	5
19	1.0	LEE	DEM	1	5
20	1.0	DUV	NPA	1	5
21	1.0	CLL	REP	0	5
22	1.0	LEE	DEM	0	3
23	1.0	DUV	REP	0	5
24	1.0	ESC	REP	0	5
25	1.0	DAD	NPA	1	4
26	1.0	BRO	DEM	0	3
27	1.0	BRE	DEM	1	5
28	1.0	SUM	REP	1	5
29	1.0	ORA	DEM	0	3
30	1.0	DAD	NPA	0	4
31	1.0	ORA	NPA	0	9
32	0.0	STL	NPA	0	3
33	0.0	ORA	NPA	1	4
34	1.0	HIL	DEM	0	4
35	1.0	DAD	DEM	1	5
36	1.0	HIL	REP	1	5
37	1.0	DUV	REP	1	5
38	1.0	LEE	REP	0	5
39	1.0	BRE	REP	0	5
40	1.0	POL	REP	1	4
41	0.0	DAD	NPA	1	4
42	0.0	DAD	NPA	0	5
43	0.0	DAD	DEM	1	3
44	1.0	PAL	NPA	1	4
45	1.0	HIL	DEM	1	3
46	1.0	POL	DEM	0	5
47	1.0	PAL	NPA	1	2
48	1.0	ALA	DEM	0	5
49	1.0	BRO	DEM	1	4
50	1.0	DUV	DEM	1	5
51	1.0	ORA	REP	1	5
52	1.0	POL	REP	0	5
53	1.0	LEO	DEM	1	5
54	1.0	ORA	DEM	1	5
55	1.0	STL	DEM	1	5
56	1.0	CLA	REP	0	5
57	1.0	CLL	DEM	1	4
58	1.0	LEE	INT	0	5
59	1.0	LEE	REP	0	5
60	1.0	BAK	DEM	1	5
61	1.0	LEE	REP	0	5
62	1.0	POL	NPA	1	5
63	0.0	PAL	DEM	1	3
64	1.0	BRE	REP	0	5
65	1.0	JAC	REP	0	5
66	1.0	DUV	DEM	1	3
67	1.0	ORA	REP	1	5
68	1.0	PAL	REP	1	5
69	1.0	STJ	REP	1	5
70	0.0	HIL	DEM	0	4
71	1.0	OKA	DEM	0	5
72	1.0	PAL	REP	1	5
73	1.0	HIL	REP	1	4
74	1.0	PIN	NPA	1	2
75	1.0	MAN	REP	1	5
76	0.0	PIN	DEM	1	5
77	1.0	POL	REP	1	5
78	1.0	IND	DEM	1	5
79	0.0	DUV	REP	1	5
80	1.0	LAK	REP	0	5
81	1.0	FLA	DEM	1	3
82	1.0	BRO	DEM	0	5
83	1.0	ORA	LPF	0	5
84	1.0	BRO	DEM	1	3
85	1.0	SAN	REP	1	5
86	0.0	ORA	REP	1	5
87	1.0	PIN	DEM	0	5
88	1.0	DAD	DEM	1	4
89	1.0	LAK	REP	1	5
90	1.0	PAL	NPA	1	5
91	1.0	LEE	DEM	1	5
92	1.0	HIL	NPA	1	4
93	1.0	HIL	NPA	1	5
94	0.0	VOL	REP	1	5
95	1.0	ORA	REP	0	5
96	1.0	VOL	NPA	0	5
97	1.0	BRE	REP	0	5
98	1.0	JAC	DEM	0	5
99	1.0	HIL	DEM	1	3
100	1.0	ORA	DEM	1	3
101	1.0	DAD	REP	0	4
102	1.0	ORA	DEM	0	5
103	1.0	CLL	REP	1	5
104	1.0	VOL	DEM	0	5
105	0.0	PAL	NPA	1	5
106	1.0	PIN	DEM	1	5
107	0.0	PAL	NPA	1	3
108	0.0	PAL	DEM	1	5
109	1.0	WAL	REP	0	5
110	1.0	PAL	DEM	1	5
111	1.0	PIN	NPA	1	5
112	1.0	SEM	NPA	0	5
113	1.0	JAC	REP	0	5
114	0.0	DAD	REP	0	5
115	1.0	LEE	REP	0	5
116	1.0	ESC	REP	1	5
117	1.0	ESC	NPA	1	5
118	1.0	DAD	NPA	0	4
119	1.0	SUM	REP	0	5
120	1.0	DUV	REP	0	5
121	1.0	DAD	DEM	0	4
122	1.0	DAD	REP	1	5
123	1.0	HIL	REP	1	5
124	1.0	ORA	NPA	1	4
125	0.0	BRA	NPA	1	5
126	1.0	BRO	NPA	1	4
127	1.0	BRO	DEM	1	4
128	0.0	DAD	NPA	1	4
129	1.0	BRO	DEM	1	3
130	1.0	BAK	DEM	1	5
131	1.0	CIT	REP	1	5
132	1.0	LEE	REP	1	5
133	1.0	MRT	NPA	1	5
134	1.0	SEM	DEM	1	5
135	1.0	PAL	REP	0	5
136	1.0	SAN	REP	0	5
137	1.0	ESC	DEM	1	5
138	1.0	ORA	DEM	0	3
139	1.0	MRN	DEM	1	5
140	1.0	BRE	REP	0	5
141	1.0	DUV	REP	1	5
142	1.0	STJ	DEM	1	5
143	0.0	LAK	REP	0	5
144	1.0	PAS	REP	0	5
145	1.0	OKA	REP	1	5
146	1.0	DAD	REP	1	4
147	1.0	SEM	REP	0	5
148	1.0	DAD	DEM	1	3
149	1.0	DAD	REP	1	4
150	1.0	BRE	DEM	0	4
151	1.0	LEO	DEM	1	5
152	1.0	CLL	REP	0	5
153	1.0	DAD	DEM	0	5
154	1.0	MAN	REP	0	5
155	1.0	BRO	DEM	1	3
156	1.0	DUV	NPA	0	2
157	1.0	PAL	DEM	1	3
158	0.0	HIL	REP	0	5
159	0.0	PAL	DEM	1	5
160	1.0	BRO	DEM	1	4
161	1.0	HIL	DEM	0	5
162	0.0	BRO	NPA	0	3
163	1.0	NAS	REP	1	5
164	1.0	LEE	NPA	1	5
165	0.0	DAD	DEM	1	4
166	1.0	DAD	NPA	0	9
167	1.0	DAD	REP	0	4
168	1.0	PAL	INT	0	5
169	1.0	MRN	REP	1	1
170	1.0	PAS	REP	1	5
171	0.0	LEO	DEM	0	3
172	1.0	PIN	DEM	0	5
173	1.0	PAS	DEM	0	5
174	1.0	MRN	REP	0	5
175	0.0	PIN	DEM	1	3
176	1.0	BRO	REP	1	5
177	1.0	LEO	REP	1	5
178	1.0	PAL	DEM	0	5
179	1.0	WAK	DEM	0	5
180	0.0	OKA	REP	0	5
181	1.0	ESC	NPA	0	7
182	1.0	PAL	DEM	0	3
183	0.0	DAD	NPA	0	5
184	1.0	LEO	DEM	0	5
185	1.0	DAD	REP	0	4
186	1.0	DAD	NPA	1	4
187	0.0	BRO	DEM	1	3
188	1.0	SEM	NPA	1	4
189	1.0	BRE	NPA	1	5
190	1.0	DUV	REP	1	5
191	1.0	PUT	INT	1	5
192	1.0	DAD	DEM	0	3
193	1.0	HIL	REP	1	5
194	1.0	BRO	DEM	1	3
195	1.0	ESC	REP	1	5
196	1.0	SEM	DEM	1	3
197	1.0	LEE	REP	0	5
198	1.0	PAL	DEM	1	3
199	1.0	PAL	DEM	0	5
200	0.0	HIL	DEM	1	3
201	1.0	SAR	REP	1	5
202	1.0	HER	NPA	0	5
203	1.0	DUV	DEM	1	5
204	1.0	ORA	REP	0	3
205	1.0	CLA	DEM	1	5
206	1.0	STJ	REP	1	5
207	1.0	STJ	REP	0	5
208	1.0	DAD	REP	0	4
209	1.0	BRO	REP	1	5
210	0.0	PIN	NPA	0	4
211	1.0	DUV	NPA	1	5
212	1.0	DAD	REP	0	5
213	1.0	PAS	NPA	1	5
214	1.0	MAN	REP	1	5
215	1.0	HER	DEM	0	5
216	0.0	PIN	NPA	1	5
217	1.0	MRT	REP	0	5
218	1.0	HIL	DEM	1	3
219	1.0	LEO	DEM	1	5
220	1.0	BRE	REP	1	5
221	1.0	BRO	DEM	1	3
222	1.0	LAK	NPA	1	9
223	1.0	VOL	DEM	0	5
224	1.0	BAY	REP	0	5
225	1.0	POL	INT	0	2
226	1.0	PAL	NPA	1	5
227	1.0	PIN	REP	0	5
228	1.0	BRO	DEM	0	3
229	1.0	MRN	NPA	0	5
230	1.0	MAN	REP	0	5
231	0.0	DAD	DEM	0	3
232	1.0	SAR	DEM	1	5
233	1.0	PAL	DEM	1	5
234	0.0	HIL	NPA	1	5
235	1.0	DUV	DEM	1	1
236	0.0	PAL	DEM	1	5
237	0.0	ORA	REP	1	5
238	0.0	LAF	DEM	1	5
239	1.0	SUW	DEM	1	5
240	1.0	DAD	DEM	0	4
241	0.0	LEO	DEM	1	2
242	1.0	PAL	DEM	1	5
243	0.0	ORA	NPA	0	9
244	1.0	BRE	REP	1	5
245	0.0	DUV	NPA	1	3
246	1.0	LEE	DEM	1	5
247	1.0	BRO	DEM	1	3
248	1.0	POL	REP	1	5
249	1.0	DAD	REP	0	5
250	0.0	DUV	NPA	1	5
251	1.0	PAL	REP	1	5
252	0.0	PAL	DEM	1	5
253	0.0	BRO	NPA	0	4
254	1.0	DAD	DEM	0	4
255	1.0	DES	REP	1	5
256	1.0	PUT	REP	1	5
257	0.0	SAN	REP	1	5
258	1.0	VOL	DEM	0	3
259	1.0	DUV	REP	1	5
